text,label
very good,2
good,1
staff not friendly at all,0
delivery on time j,1
since you already customer connect ensure notify him on wa or through call so that he she would availablegood receive my both courier today itself,1
I need tamil customer service and tamil customer care executive ,1
order say deliver but do not get it,0
Easy steps to understand ,1
good dillewary good sarvice altaf,2
product order not work,0
excellent service,2
thank you,2
Credit card and online banking facilities should be offered . ,1
do not get callmsg by delivery persondid not receive product,0
best service but lete deliverd,1
excellent,2
sir this rong item how can return this not my order,0
thank you bhaiya,2
fast,1
ok nice,1
no any,1
delivery person toorude not ready give parcel on my behalf,0
awesome delevery experience,2
service of local agent very poor they wait day deliver that too after contact them,0
awesome guy,2
delivery boy not polite,0
Good,1
timely delivery,1
Keep updated about the tracking status,1
good service,2
service not do,1
blu dart service emp very good service good approach,2
want exchange this u tell piece n there only this not right,0
Excellent ,1
ni helio,1
delivery agent behaves so rude,0
Good process ,2
excellent service,2
self recived parcel,1
good,1
good service for,2
guy very innocent humble while he give my parcel so these kind of people your organization need,1
very good,2
service beyond since long back,1
Rong item delivery  charges  pordak,1
it ok,1
awsome service from blue dart courier,1
good service,2
it very nice rate thank you team divine hindu blue dart team,2
badhiya,1
good deliver,2
very happy with service thank you,2
good,1
very good,2
like,1
so much delay not deliver my home do multiple follow up,0
good service,2
very nice,2
delivery person behave very nicely,2
it not my phone pouch modelwhat u sendi dont want this product,0
product original address per deliver nahi huva,1
go collect my own parcel they didnt even deliver after arrive two day before,0
not deliver,1
Ok,1
too slow get package,1
not yet receive my parcel,1
Account open karaya jisase bahut achha vyavahar aur sari bate bahut saral aur spasht shabdo me batayi,1
nothing find in box except one dhakna of bottle shame,1
improve door step delivery,1
best service,2
nice service,2
since last few month,1
not receive my debit card yet,0
please call me agent not call you agent me,1
blue dart symble of reliability promptness u keep it up,2
your delivery agent throw rhe product call recording of what he say he accept he throw parcel he do that again what kind of behaviour this he didnt give my parcel my mother respectfully,0
get wrong order,0
disappointedworst servicewouldnt recommend anyone n if someone tell or ask use bluedart surely make assure that he also doesnt use bluedart courier in his whole life,0
good behaviour,1
it too late for delivery,0
company track system need take care,1
not recieved order which gsk you deliver order,1
great service,2
pankaj singh,1
not receive,1
please make sure that courier hand over right person,1
my package not deliver me where my parcel,0
waste service,0
customer first,1
good,1
poor delivery service,0
good,1
ho gurugram dispech but till time not receive h parsol long time delay h parsol please quecly provide h parsol,1
delivery guy keep ring bell very much in hurry rude,0
top class service very polite behaviour delivery executive very knowledgeable highly satisfy with his service,2
good behaviour boy,2
this not my order,1
your delivery boy manner of communication very poor he didnt come my address deliver parcel instead,0
very patient well speak delivery guy v respectful helpful,2
let me use first,1
receive wrong parcel,1
good,1
thanks,1
not deliver at door step,1
good,1
good,1
best delevery person good behaviour,1
would like report issue regard my recent delivery delivery boy do not deliver order on time also provide incorrect information his officesystem regard delivery status,0
good service,2
very good,2
service good,1
thanks,1
very good excellent,2
ok hai banda pura,1
good,1
suppose deliver on th november but personally collect by my son on th november also,1
parcel long time wait deliver,1
bad service of bluedart come take order from store,1
yes,1
great service,2
fraud saaalee,1
Exchange please,1
delivery guy didnt deliver doorstep keep haggle come away from home also rude while talk,0
please cancel my order this wrong item,0
Very rude and unprofessional delivery person- Ashish Chowdhury.,0
nothing much well,1
bluedart delivery service not available in our area,0
rong product money vest,1
it take almost two week deliver my order,0
very bad service on head office also delivery boy miss behavior on telephone,0
tell your staff maintain some patience while have conversation,1
do not receive any parcel,0
should notify customer in every hub parcel reach,1
it not deliver medelivered wrong person,0
keep discipline employee sometimes they reject order by themselves,1
good,1
not receive my order even after speak delivery guy ask him deliver it on th nov even since no one available receive parcel,0
already make order delay without contact customer mark that customer not available,0
Yes,1
not deliver yet,1
person who come for delivery helpful,1
worst delivery,0
Account opening process is good provide more account types option through online.,2
delivery agent mark delivery without even attempt till time escalate they didnt have any intention delivery,1
No,1
friendly helpful,2
item not deliver,1
very poor service,0
thank you,2
great,1
envelope open,1
best service,2
there delay in delivery of shipment,1
rd class service,1
order not recieved delivery guy ask otp before delivery of order still not recieved order on of bad service cheeeeee still he not bring deliver order but recieved message ur order recieved,0
good service,2
bad service day delay deliver my parcel,0
it good,2
Tvs,1
happy,2
thik hai,1
extremely poor,0
good service,2
not deliver,1
thank you for prompt safe delivery of my order your hard work very much appreciate,2
The colour and design of the product is absolutely different.I want to exchange.,1
delivery delay than give time,1
it good but not a it custy,1
bahut jyada lal ho gya hai purana stock pack karke bhej diya hai or isme return ka option nahi hai,1
excellent service,2
it not my order,1
havent receive my product dont even delivery agents number it very expensive item,0
thank you blue dart really fast delivery,2
nothing,1
good,1
Item has been changed.,1
wonderful,2
package recieved openend item not miss but seem like magazine read once put back,1
osm,1
good,1
very good,2
delivery person leave parcel with security guard without inform me u at home there no attempt make deliver my prepaid order my doorstep nor do receive any phone call informing that parcel leave with security guard just sms informing that order deliver hand security,1
deliver on time not return if customer fails receive call sometimes they unable not avoid,0
bad service that never see,0
on time delivery,1
bekwas mhuje mila hi nahi order fhir delivery kese kr di,1
good logistics service no further comment,1
delivery guy tell me that logistics partner mr gupta very cheap personhe do not want spend any money for deliveryvery poor service delivery delay by dayspatheticnever go recommend never go use bluedart,0
not at all good,0
neela kumar very good delivery person thank you blue dart,2
item damage plz return this,1
order already reach hub delivery agent didnot try contact reschedule for day continuously didnt receive any call from aluva blue dart partnerslast go collect item,1
delivery boy say,1
please hire delivery boy who know area,1
u deliver mewring courier,1
Overall good experience ,2
great,1
bluedart,1
good job,2
good service,2
very poor service this expect reach by st of oct your representative give fake update that iam not available for receive pathetic experience this dsc token which need on st for itr of my firm now pay rupee fine just because of this delay,0
good delivery experience,2
kit not recieved,1
any packet receive it show deliver not deliver no call receive not receive any otp,1
please full knowledge of pin code during this delivery my parcel return say wrong pin code but code right e after see msg about parcel return contact your customer care no edit code which wrong but parcel deliver with this wrong code so please check your pin code update yourself,1
very good service,2
iam not receive order please give me detail,0
good,1
"Every thing is good 
Please keep privacy & security related issue always.",2
etta nikha manai hm kbhu nhi dikhen,1
parcel not deliver still you show a give what kind of shoddy service this dont even your agent no,0
good,1
language,1
hi ok,1
keep it up,1
same day delivery start by bluedartgreat service,2
deliver doorstep,1
wont order anything around chathbut his delivery quick,1
good,1
good,1
yes,1
My wrong mobile number updated by idfc first bank in ckyc records,1
this replacement order earlier it deliver from u but box completely open wrong product deliver in future if such thing u notice please dont deliver return back seller,0
good,1
very good,2
kind person,1
ok,1
"The employee name Himanshu Chaudhary explain the account features in a very good manner 
I appreciate his efforts also as he is opened this account after the banking hours ",2
nic,1
good delivery thank you,2
they deliver product a damage not ready open in front of usamazon also not provide return option,0
bed behavior,1
want cancel my order,0
deliver so soonthank you,2
very very bad service,0
kharb sarvise,1
good service,2
thanks for quick delivery,2
nothing,1
superbbbb service,1
very good service,2
well,1
sharan very kind hard working,2
excellent,2
good service,2
blue dart know for safe quick delivery delivery staff equally trained responsive mr rahul,1
there bit of delay in initial stage but however after some communication everything go on well,1
beat service in aizawl,1
apne merko cl karna tha,1
not good product,0
good,1
time late,1
nice,1
I don't have any word for bank my money but can't use why ,0
good,1
best service also really commendable thank you,2
receive in time,1
tomuch late,1
v good,2
"All services are good
",2
good service,2
order sit at near hub for half day,1
notice my issue receive by main name ke jagah ffgggg hai fraud hua hai mere sath,1
u already fast good,2
deliver wrong product,0
goo,1
verry good,2
everthing well,1
not same as show a picture,1
ok,1
recieved different product from what actually order,1
nice meet your team,2
good job,2
best service,2
very prompt,1
come fake j phone what can do,1
current status of parcel should update customer,1
my number update incorrectly,0
nothing,1
very good,2
number contact delivery in case of untimely incident,1
professional timely service,1
excellent,2
bad delivery,0
nice,1
delivery very late shipment not deliver on time each day it say undelivered home no one call me or try deliver,0
get in touch in case of delivery get delay,1
want return my order,1
wrong parcel give me,1
shipment not receive but get massage by delivered,1
always parcel delever too late,1
beacause this parcel not deliver on time almost day delay second thing this parcel not deliver by blue dart delivery boy go at blue dart office take my parcel they even didnt try once deliver when go at blue dart office they say it not our fault our staff on leaf like seriously thank you for give bad careless service,0
good,1
good,1
thora late lakin thik hai accha hai,1
please shorten you delivery day,1
bekar service hai aap logo ki pkt mere abhi tak nahi aaye ko aane,1
do not receive parcel how can you say it deliver self,0
good,1
very good,2
very good,2
ok service,1
no comment,1
nil,1
delay delivery,1
good delivery,2
even give my rating cumbersome process no respect punctuality or sense of time deliver your package,0
very good,2
delivery person very cooperative service good he call for adress,2
none at moment,1
not receive,1
late delivery,1
nice,1
want return,1
happy,2
you super,2
delivery person refuse deliver in first floor after complaint only he come stand in street after nag for awhile he deliver,1
good service,2
very good,2
timely delivery,1
courier person not able deliver on same day,0
good,1
bad experience,0
not delievering at right place still show delieverd,1
overall good experience,2
courier guy didnt call not sure who he give product,1
"Some technicle issue I faced to open an account through the mobile app , bank cc helps me and then I became successful to open an account. Overall the process was so easy and beat part was to generate internet banking and mobile banking very easily no need to go to bank . I am the new now I will see the experience more and more and than I will be able to give my feed back properly. ",2
good,1
Best experience I have had till date.,2
it not deliver right person,0
good service,2
ek no,1
you give me in rupee but todays offer show price rupee thats not good,0
incorrect order receive,1
do not find any need for further improvement,1
bad service article receive chennai on deliver ar pm hub my house less than km,1
good,1
great,1
little bit slowthe package hub just min frok my house it out for delivery since but get it at pm,1
good service by delivery executive,2
good service,2
do not get delivery,0
your guy didnt come home go your office complain then get my card,0
nie,1
good service,2
fast good service,2
good,1
Amai kitna bacha  hai,1
you guy delay for day also you mention google adress wrongthis total chaos,0
best service,2
not receive,1
definitely,1
excellent service provider package deliver within day of place order online,2
excellent service,2
just call once when your delivery partner cant reach u mention first area of delivery out of delivery areavery poor service pic my courier from km away,0
excellent,2
nice,1
very good,2
yes,1
raise complaint because wrong order receive please refund my amount,0
Got 1 sbi cards instead of one.....God knows how..and which one is valid...,1
very pathetic service form your local delivery partner,0
very good delivery,2
excellent,2
he good,2
good behaviour,1
shipment not deliver by delivery staff,0
HCH,1
bhari,1
no recommendation,1
want return my order,1
Tell you delivery boy to behave properly and teach him how to talk with customers. Pathetic experience from your delivery boy. I kept telling him the address but he is nit ready to listen and shouting on me only.,0
deliver at proper address delivery man many time without approach concern customer,1
all good,1
take you day plus your mathura people claim there issue at my side my address wrong or nobody there receive parcel which blatant lie this very rude unacceptable never ever recommend bluedart anyone ever again,0
osm,1
You are encouraging fake seller. The COD  item was sent with no details of sender.,0
i will try better seving improve my account ,2
not receive it,1
not interested,0
didnt receive product,0
ye batter,1
do not receive my order,0
ye shi nhi aaya,1
if customer call near door executive should come near door give executive stand downstairs ask customer come down collect,1
good,1
havent receive any parcel today,1
good,1
delivery in time delivery boy good behaviour,1
good,1
inform delivery executive wait for minute but he go update a im not available,1
not applicable,0
because product size small,1
good,1
Good service ,2
not surely,1
Nothing,1
not deliver meurgently need your help,1
good,1
take long drive collect it from depo,1
sab log sukhi raho,1
service goo,1
not deliver my address go collect from them bad service in previous occasion havent receive any call but status keep on be update a consignee not available collect them at office same thing for all delivery,0
સરસ ,1
genuine courier company always reach on time safely deliver every parcel thank you blue dart for connect with u,2
fast delivery,1
return please help me,1
get empty box with sqeezed paper inside product not there,1
tell delivery guy keep my parcel at shop a not present at moment but think he keep it in wrong place,0
very bad pathetic service,0
Y,1
actually get my product day earlier than actual delivery date this what it tell about delivery service of blue dart thankyou for wonderful service delivery boy behave in respectful way while talk with me this what every customer expectthanku so much man,2
good,1
dont take parcel if you cant deliver,0
delivery nice express good delivery,2
not good service,0
it ok unbelievable gorgeous service,2
it good,2
blue dart ongole current address not update in google,1
your person who deliver on friday liar,1
nothing,1
ok,1
nice,1
very good,2
my order damage,1
good,1
it already at it best,2
supar,1
"It's a seamless process.  Opened an NRO/NRE account from overseas and the steps are very very easy to follow and such fast track service to open account. 

Excited and looking forward for continued services to use the banking facilities ",2
today receive,1
bad kakakkak,1
delivery note msg say it deliver bobby,1
No,1
Need credit card,1
"We are proud to have joined such a bank, our IDFC Bank is considered the first of its kind.",2
super service,2
gud service,1
my not receive at location,1
delivery person great but order deliver late by day,1
parcel not deliver me not receive,0
good,1
great person,2
get wrong parcel,1
good,1
good service,2
delivery late,1
late service,1
satisfied,2
very nice,2
very nice service,2
yes,1
please give me sachin kumar detail who receive my shipmentas dont know himand how your person give parcel other one without inform me,1
good sarvice,1
happy,2
Nil,1
good,1
dont like,0
good experience,2
please order ko cancel kiya kariye kariye,1
bad,1
delay de,1
very good service,2
delivery time little long,1
service ok,1
product prepay but delivery person still take parcel worth only rs person accept parcel not aware that product prepaid please refund amount take necessary action,1
parcel open amd item side miss delivery person say deliver in this position only,1
Great delivery guy! Was smooth process!,2
good,1
good service,2
ddt receive my order,1
do not receive any parcel from bluedart,0
little bit late but excellent service,1
not give door delivery go personally collect consignment,1
receive product in good condition on time quality excellent,2
good,1
bed product,1
Na,1
packet not receive,1
package completely torn,1
product damage you spell my name wrong,0
super,1
late delivery,1
All the best,2
nice,1
very delay,1
not deliver,1
good,1
very good,2
bad very very,0
Received my parcel by self. No update regarding delivery on registered mobile number. Delivery person number not provided by message. No call by delivery agent.,1
good,1
good,1
ok service,1
nothing,1
thanks,1
Thank you so much  and I hope IDFC will lead me to good aty financial development ,2
Delivery boy ne mere given address pe delivery karne se mana kar diya reason de Raha hai ki aapke Ghar taraf ka koi parcel nahi hai isliye hum waha nahi Jaa sakte. Or wo mujhe suggest kar rahe the ki aap chowk pe kisi janne Wale se delivery le lijiye tab mujhe majburi me chowk pe kisi janne Wale dukan Wale se delivery lena pada,1
good communication wonderful service,2
product not deliver,0
good,1
amazing service,2
good,1
greay,1
never try do shippment via bluedart courier this my oath that take after this delivery you bad in handle customer service as well a promise delivery,0
excellent,2
definitely,1
have very bad experience with your delivery agent,0
keep it up,1
nice,1
No,1
very fast reliable service,2
very good,2
it good,2
satisfy with service,1
why should go collect my parcelas per conversation with blue dart staff they dont enough transport facility in neelambur office then why you guy transit parcel neelambur officethis not first time even for one of my another parcel from bank you guy update wrong information like not available in particular address return back banksame problem for few other people a wellbetter shutdown neelambur branch office incase you dont any vehicle or service man,0
not receive it yet,1
good,1
satisfied,2
different delivery slot can give a option,1
yes,1
sabse kharab service h,1
good service,2
How could your agent deliver the products without my consent...,0
Still not working after almost two weeks - failed to even transfer money into my NRO acct - not sure how long will it take and the overall process is not clear,0
delevre ok,1
very good,2
good service ankit,2
Good,1
good sarvice,1
good service,2
recive,1
every day false status update about address consignee address incompleteincorrect,0
good,1
not good delivery a delivery agent call but call not receive my phone junk miss call receive only have go there office collect my parcel,0
not at all satisfactory parcel nt deliver since last day when use call parcel nt with u but parcel with them they not interested in deliver itwas fully tire by call all staff from branch branchpoor service not recommend anyone,0
well behaved delivery partner,1
need improve customer service,1
nice delevery boy,2
please give me call,1
thank you,2
definitely,1
didnt get my percel,0
your delivery boy very bad,0
want return this order,1
thank you for delivery,2
should not take day deliver from gurugram delhi,1
No,1
best service,2
very good,2
delivery guy so rude not able pick up call because on duty be doctor pick his call after miss or call,0
dear team still courier not receive also one courier not receive since month so please check confirm tomorrow on priority basis if tommorow problem facing by staff so please call tommorow on below no,1
Good service provided ,2
courteous polite,1
didnt get parcel,1
very nicesuggest start intercity food or material below kg delivery uber parcel syarted,1
service good,1
want return my parcel because it defective,0
delivery boy very helpful friendly,2
it cheating business order from anant fashion online cotton saree deliver completely torned use dirty saree,0
delivery agent so rude he very aggressive ill mannered person very disappointed with his behaviour,0
delivery agent do not call me,0
nice,1
minimal call with area awareness,1
good,1
good,1
last time definitely have bad experience,0
didnt receive parcel it deliver somewhere else,0
you lie parcel which express delivery deliver after day delivery agent lie say that they have attempt delivery on two day which not do then they inform that he on leaveonly after repeat follow up package deliver,1
good,1
one object damage,1
today,1
order fake want return itim very disappointed,0
keep up good work,2
good,1
excellent,2
nice,1
You should provide delivery agent number after showing......out for delivery,1
there should some kind of otp verification,1
it commit by amazon through which purchase product that delivery agent open product get it check properly but delivery guy refuse do same very rudely also receive only shipment expect both shipment today,0
it awesome,2
nice fast service,2
Very nice ,2
product superb sound quality aloso super,2
excellent,2
not delivers product,0
thanx your service very best n staff too gudthanqu so much blue dart,2
very bad service,0
good,1
self collect from your hub every time always late delivery very poor delivery person,0
poor product,0
good service,2
super good,2
nice,1
dont know who it deliver but mark a self,1
T,1
courier not yet deliver request reconcile,1
good,1
very nice,2
good,1
do not receive order,0
excellent,2
majshdnsj nshshs,1
nice product,2
didnt receive complimentary gift,0
th u,1
drop my order km away from my house deny doorstep delivery talk roughly during call,1
it hasslefree delivery,2
good,1
No,1
good improve customer care service wey tamil language not in customer care service,1
bad service,0
Nothing,1
good,1
product not,1
parcel not receive,1
Delivery boy does not come to deliver parcel and keep updating FALSE status there. In my case,0
worst delivery service,0
excellent service,2
nothing,1
person tell me that not give it your home because give service only on main road at market only,1
super watan,1
fast delivery,1
good,1
very good behaviour,2
good,1
fast delivery,1
option provide alternate number,1
IHi I wanna exchange the product received as it's not fitting it's too small size. please share me the link to exchange it.Thank you.,1
dont manner talk with customersvery rude female person who deliver today parcel,0
return it a want xl size,1
good,1
shipment not,1
miss my one order didnt not get any kind of call receive message for didt receive call,0
fake jewellerywrong jewellery come customer,0
rider contact information should provide for convenience of delivery good experience,2
awesome service,2
good,1
excellent deliveryi happy receive this shipment,2
wrost service do not respond any call deliver material some one else address,0
good,1
fast service,1
not receive any delivery,1
nothing deliver,1
good delivery,2
goo,1
ok,1
Kailash jat,1
Very nice 👍,2
package not deliver me,1
delivery person leave out with building security,1
want cancel my order but delivery person do not contact me at all deliver at security guard,0
very good,2
very good service,2
No,1
so happy,2
Lonic,1
best,1
continue serve like this,1
it not deliver yet how can someone put status deliver without passcode,0
good,1
good,1
shaker not deliver,1
good,1
very good service,2
good,1
call customer on verified number rather than become spam,1
third class deliverymy every order which ship on bluedart,1
excellent,2
nothing,1
didnt receive parcel,0
thnx u,1
amazing service,2
delivery partner keep promising on deliver package but didnt,1
product not a show in picture while order bluedart should refuse delivery from such fake company,0
delivery boy do not call or come address return parcel,1
tell delivery guy atleast give call costumer before say costumer not available,1
good,1
dhirendra kumar singh,1
good,1
yes,1
order not deliver me it deliver wrong person,0
deliver on time,1
delivery person very good not at home but he reach at my home deliver successfully thanks,2
all good,1
very much upset go for pick up no one answer call visit our godown for my parcel,0
vinayak gaikwad very good person,2
delivery person talk rudely ask me collect my consignment in different location,0
good,1
not receive a per expect,1
delivery receive schedule date,1
delivery agent behaviour good,1
this lipstick u send that totally empty this frahs use lipstick,1
very nice dilevery boy,2
nice,1
awesome courier,2
delivery person personally call me deliver package in my home address great service,2
not on time,1
your delivery person speak angrily insult woman in my house,0
good,1
goodminimal call,1
good wark,1
delivery agent call me cut call right away when keep on call him in min,1
yes,1
good,1
damage n open parcel,1
Ok,1
bad product want return,1
do not get any parcel call for delivery,0
good service,2
nothing,1
good,1
not receive any delivery,1
good article well talk delivery boy appreciate,2
good,1
delivery slow,0
ita good,1
do not get deliver,0
package tamper tear delivery boy refuse take it back deny fact that he package break intohe start plead then that he pay so pay accept package,1
excellent,2
package arrive late instead of th nov,1
quick service,1
nothing,1
Mujhe bataya gaya tha zero balance pay account khulega balance Koi maintain nahin karna padega lekin bad mein pata Chala ki 10000 ismein minimum rakhna Hi padega,1
none,1
your mr parmar of blue dart not deliver my parcel medicine mealways there day delay from blue darti complain netmeds too,0
delivery not receive,1
good,1
there no phone call from delivery person while deliver without any notification they mark no such consignee so far receive more than courier that address from other courier party never face situation like this beforeand there no number contact customer support it fully computerisedit take me month track my courier st time it return second time only get my parcelincase if this emergency mean what people do this very ridiculous,0
No,1
excellent,2
very nice survis,2
excellent service,2
good service,2
keep it up,1
"The accounts were supposed to be active within 34 hours of welcome kits delivered however since last four days there is no change on account status nor any update why there is a delay and when these will be activated.

",1
who pradeep not receive any parcel,1
excellent fast service,2
very bad service,0
AC opening process is very fast,2
good service,2
good,1
good service,2
As of now everything is seamless thank you ,2
everything perfect,2
wonderful delivery partner,2
representative argue about give full amount in change ask him dont argue arrange change for my order he tell it not my responsibility arrange change dont like his behaviour way of talk,1
delivery person very polite he understand my problem deliver item again even after face problem in contact me,1
costumer ke sath frod ho rha h,1
delivery on time good service thanks bluedart,2
good,1
delivery get day late after expected delivery date,0
delivery person bheaver very rude baat krne ki tamiz nahi h usme,0
Fix or close my account asap. Thanks. Waste of time,0
good,1
excellent,2
nice,1
Amazing experience ,2
nic,1
very poor delivery service,0
product u sent wrong product,0
best,1
on rdnov some reason not at same address reason then your delivery boy should adjust come few distance location deliver but he deny on rd nov,1
call me my parcel not receive,0
